"Year...1","Spring","Summer"
1995,NA,3.69666666666667
1996,-8.14166666666667,4.07200374531835
1997,-9.61359289617486,3.72526350461133
1998,-9.76400273224044,3.43561292270531
1999,-9.54105191256831,3.56621376811594
2000,-10.6996584699454,3.7758152173913
2001,-12.8200136612022,4.2942481884058
2002,-9.29842896174863,4.42875905797101
2003,-9.62581967213115,5.50769927536232
2004,-6.15512295081967,5.06077898550725
2005,-7.7594262295082,4.75729166666667
2006,-5.6969262295082,4.42780797101449
2007,-9.09979508196721,5.28432971014493
2008,-10.0474726775956,6.94962258454106
2009,-8.3827868852459,4.74963768115942
2010,-7.68039617486339,4.19551630434783
2011,-8.26700819672131,4.59673913043478
2012,-12.7989754098361,5.88844321045999
2013,-9.52464270701976,5.18639562430323
2014,-10.6434158945118,4.76347597149228
2015,-11.1407786885246,4.71875
2016,-8.90710382513661,6.75457427536232
2017,-10.945218579235,4.56198555369751
2018,-8.95696721311475,2.70472408026756
2019,-6.6521174863388,6.32145360743541
2020,-5.14979508196721,5.14175724637681
