"Year","April","May","June","July","Aug","Sep","Oct"
1995,NA,NA,NA,NA,4.2568253968254,0.37675462962963,-11.2713127240143
1996,-11.7539907407407,-8.47950940860215,2.58634259259259,8.92637992831541,4.94244651416122,-0.0462638888888889,-8.55847670250896
1997,-13.803712962963,-11.3451769713262,1.83150084175084,7.67732078853047,5.26009408602151,-0.0132407407407407,-2.77370967741936
1998,-11.9850509259259,-9.85306003584229,-0.909087962962963,7.6548699418212,6.24057347670251,-0.239226851851852,-7.95332437275986
1999,-11.3216157407407,-9.73736111111111,-1.79364351851852,7.67697132616487,5.13009822584823,0.0944861111111111,-9.3441353046595
2000,-16.3114907407407,-10.4728987455197,1.97009722222222,7.69914426523297,5.54943996415771,0.176194444444444,-3.90075716845878
2001,-14.5400925925926,-10.4330197132616,1.09551388888889,7.52101702508961,6.54821684587814,0.282393518518519,-6.31345878136201
2002,-12.3431597222222,-9.26126344086022,2.54381712962963,8.67974014336917,5.96495967741935,1.17369444444444,-2.94108422939068
2003,-13.1595185185185,-8.89200268817204,3.32858796296296,9.53760304659498,7.26822804659498,0.901287037037037,-8.37448476702509
2004,-10.2723796296296,-6.35160394265233,4.60647685185185,9.50407258064516,6.21893369175627,-0.211592592592593,-10.3809005376344
2005,-13.2360972222222,-7.05588709677419,6.21514583333333,9.96124327956989,6.36413978494624,-0.663,-12.6314314516129
2006,-11.0697847222222,-6.57960349462366,0.547006944444444,8.76150537634409,6.27956285215236,-0.615944444444444,-9.9835752688172
2007,-14.0912824074074,-9.94538082437276,3.85552777777778,9.04058691756272,5.48710125448029,-1.90343981481481,-11.4470474910394
2008,-12.7199166666667,-10.186267921147,0.479314814814815,8.85560483870968,5.91823700716846,0.243115740740741,-7.9905667562724
2009,-16.9716944444444,-6.68927867383513,4.12752083333333,8.75344534050179,4.89663306451613,-1.44550462962963,-4.27956765232975
2010,-12.0693958333333,-7.93160842293907,1.18169212962963,7.5769041218638,5.00295922939068,-1.01610416666667,-7.46075268817204
2011,-13.8380462962963,-9.49919130824373,2.70851157407407,8.30117831541219,5.76295250896057,-1.60426388888889,-7.4711267921147
2012,-11.7221967592593,-10.3286693548387,-1.06091435185185,7.91072580645161,5.60678003740065,-1.66676851851852,-8.71243727598566
2013,-17.7770601851852,-6.85721454173067,6.96056481481481,9.12556003584229,5.48616039426523,0.464319444444444,-3.03728046594982
2014,-13.2865787037037,-10.4896258960573,-0.463362103174603,7.13905689964158,5.24787634408602,-0.496111111111111,-2.15228046594982
2015,-10.6685486111111,-9.5426523297491,-2.00075231481481,6.39415994623656,4.78948252688172,-0.157060185185185,-2.40539874551971
2016,-12.7503333333333,-8.19350806451613,3.78449074074074,9.52533602150538,7.04968637992832,0.181939814814815,-2.44432347670251
2017,-12.0791805555556,-8.92289874551971,1.30411680911681,8.55373655913979,5.86008064516129,0.753523148148148,-2.75060483870968
2018,-9.73648297073297,-8.429229390681,-3.44605092592593,1.59302419354839,4.82819341053212,-0.607805555555556,-6.14945340501792
2019,-14.774712962963,-7.2434229390681,5.7203287037037,9.25207885304659,7.29110215053763,0.611087962962963,-8.39639336917563
2020,-13.3780462962963,-5.79631272401434,3.79108333333333,7.23383064516129,5.76045698924731,-1.17310185185185,-4.10062275985663
